link-alternate,Link,"<https://adition.com/report/?leak=link-alternate-atom>; rel=""alternate"" ; type=""application/atom+xml"""
link-alternate-atom,Link,"<https://adition.com/report/?leak=link-alternate-stylesheet>; rel=""alternate stylesheet"" "
link-alternate-stylesheet,Link,"<https://adition.com/report/?leak=link-alternate>; rel=""alternate"" "
link-amphtml,Link,"<https://adition.com/report/?leak=link-amphtml>; rel=""amphtml"" "
link-appendix,Link,"<https://adition.com/report/?leak=link-appendix>; rel=""appendix"" "
link-apple-touch-icon,Link,"<https://adition.com/report/?leak=link-apple-touch-icon-precomposed>; rel=""apple-touch-icon-precomposed"" "
link-apple-touch-icon-precomposed,Link,"<https://adition.com/report/?leak=link-apple-touch-icon>; rel=""apple-touch-icon"" "
link-apple-touch-startup-image,Link,"<https://adition.com/report/?leak=link-apple-touch-startup-image>; rel=""apple-touch-startup-image"" "
link-archives,Link,"<https://adition.com/report/?leak=link-archives>; rel=""archives"" "
link-author,Link,"<https://adition.com/report/?leak=link-author>; rel=""author"" "
link-bookmark,Link,"<https://adition.com/report/?leak=link-bookmark>; rel=""bookmark"" "
link-canonical,Link,"<https://adition.com/report/?leak=link-canonical>; rel=""canonical"" "
link-canonical,Link,"<https://adition.com/report/?leak=link-canonical>; rel=""canonical"" "
link-chapter,Link,"<https://adition.com/report/?leak=link-chapter>; rel=""chapter"" "
link-chrome-webstore-item,Link,"<https://adition.com/report/?leak=link-chrome-webstore-item>; rel=""chrome-webstore-item"" "
link-contents,Link,"<https://adition.com/report/?leak=link-contents>; rel=""contents"" "
link-copyright,Link,"<https://adition.com/report/?leak=link-copyright>; rel=""copyright"" "
link-dns-prefetch,Link,"<https://adition.com/report/?leak=link-dns-prefetch>; rel=""dns-prefetch"" "
link-entry-content,Link,"<https://adition.com/report/?leak=link-entry-content>; rel=""entry-content"" "
link-external,Link,"<https://adition.com/report/?leak=link-external>; rel=""external"" "
link-feedurl,Link,"<https://adition.com/report/?leak=link-feedurl>; rel=""feedurl"" "
link-first,Link,"<https://adition.com/report/?leak=link-first>; rel=""first"" "
link-glossary,Link,"<https://adition.com/report/?leak=link-glossary>; rel=""glossary"" "
link-help,Link,"<https://adition.com/report/?leak=link-help>; rel=""help"" "
link-icon,Link,"<https://adition.com/report/?leak=link-icon>; rel=""icon"" "
link-import,Link,"<https://adition.com/report/?leak=link-import>; rel=""import"" "
link-index,Link,"<https://adition.com/report/?leak=link-index>; rel=""index"" "
link-last,Link,"<https://adition.com/report/?leak=link-last>; rel=""last"" "
link-manifest,Link,"<https://adition.com/report/?leak=link-manifest>; rel=""manifest"" "
link-mask-icon,Link,"<https://adition.com/report/?leak=link-mask-icon>; rel=""mask-icon"" "
link-next,Link,"<https://adition.com/report/?leak=link-next>; rel=""next"" "
link-offline,Link,"<https://adition.com/report/?leak=link-offline>; rel=""offline"" "
link-P3Pv1,Link,"<https://adition.com/report/?leak=link-P3Pv1>; rel=""P3Pv1"" "
link-pingback,Link,"<https://adition.com/report/?leak=link-pingback>; rel=""pingback"" "
link-preconnect,Link,"<https://adition.com/report/?leak=link-preconnect>; rel=""preconnect"" "
link-prefetch,Link,"<https://adition.com/report/?leak=link-prefetch>; rel=""prefetch"" "
link-preload,Link,"<https://adition.com/report/?leak=link-preload-as-font>; rel=""preload"" ; as=""font"""
link-preload-as-font,Link,"<https://adition.com/report/?leak=link-preload-as-image>; rel=""preload"" ; as=""image"""
link-preload-as-image,Link,"<https://adition.com/report/?leak=link-preload-as-script>; rel=""preload"" ; as=""script"""
link-preload-as-script,Link,"<https://adition.com/report/?leak=link-preload-as-style>; rel=""preload"" ; as=""style"""
link-preload-as-style,Link,"<https://adition.com/report/?leak=link-preload>; rel=""preload"" "
link-prerender,Link,"<https://adition.com/report/?leak=link-prerender>; rel=""prerender"" "
link-prev,Link,"<https://adition.com/report/?leak=link-prev>; rel=""prev"" "
link-publisher,Link,"<https://adition.com/report/?leak=link-publisher>; rel=""publisher"" "
link-search,Link,"<https://adition.com/report/?leak=link-search-2>; rel=""search"" ; type=""application/opensearchdescription+xml"""
link-search-2,Link,"<https://adition.com/report/?leak=link-search>; rel=""search"" "
link-section,Link,"<https://adition.com/report/?leak=link-section>; rel=""section"" "
link-shortcut-icon,Link,"<https://adition.com/report/?leak=link-shortcut-icon>; rel=""shortcut icon"" "
link-sidebar,Link,"<https://adition.com/report/?leak=link-sidebar>; rel=""sidebar"" "
link-start,Link,"<https://adition.com/report/?leak=link-start>; rel=""start"" "
link-stylesheet,Link,"<https://adition.com/report/?leak=link-stylesheet>; rel=""stylesheet"" "
link-subresource,Link,"<https://adition.com/report/?leak=link-subresource>; rel=""subresource"" "
link-subsection,Link,"<https://adition.com/report/?leak=link-subsection>; rel=""subsection"" "
link-tag,Link,"<https://adition.com/report/?leak=link-tag>; rel=""tag"" "
link-up,Link,"<https://adition.com/report/?leak=link-up>; rel=""up"" "
